key,description
API_CONTRACTS.APP_COLLECTOR_USR_CODE,APP_COLLECTOR_USR_CODE Collector associated with account
API_CONTRACTS.APP_CPP_CODE,APP_CPP_CODE Reference Key to Compensation plan code
API_CONTRACTS.APP_RATE_BUY,APP_RATE_BUY The buy rate of the contract
API_CONTRACTS.APP_COMP_AMT,APP_COMP_AMT Total Compensation amount
API_CONTRACTS.APP_FEE_AMT_ESCROWED,APP_FEE_AMT_ESCROWED Total escrow advance amount received (original)
API_CONTRACTS.APP_COMP_AMT_UPFRONT,APP_COMP_AMT_UPFRONT Upfront compensation amount
API_CONTRACTS.APP_COMP_AMT_REMAINING,APP_COMP_AMT_REMAINING Remaining compensation amount
API_CONTRACTS.APP_RATE_SPREAD,APP_RATE_SPREAD Rate spread for HMDA reporting
API_CONTRACTS.APP_HOEPA_CD,APP_HOEPA_CD Home ownership and equity protection act code for HMDA reporting
API_CONTRACTS.APP_LIEN_STATUS_CD,APP_LIEN_STATUS_CD Lien status code for HMDA reporting
API_CONTRACTS.APP_COUPON_FIRST_PMT_DT,APP_COUPON_FIRST_PMT_DT The date on which first payment is expected on the re-ordered coupon book
API_CONTRACTS.APP_COUPON_ORDER_BY,APP_COUPON_ORDER_BY Identifies coupon ordered by
API_CONTRACTS.APP_COUPON_ORDER_DT,APP_COUPON_ORDER_DT The date on which coupon book was re-ordered
API_CONTRACTS.APP_COUPON_ORDER_IND,APP_COUPON_ORDER_IND Indicates whether the coupon has been re-ordered
API_CONTRACTS.APP_COUPON_START_NO,APP_COUPON_START_NO The starting number of the coupon
API_CONTRACTS.APP_EARLY_PRE_PMT_PENALTY_IND,APP_EARLY_PRE_PMT_PENALTY_IND Indicates if early repayment fee can be charged
API_CONTRACTS.APP_PRE_PMT_TOLERANCE_AMT,APP_PRE_PMT_TOLERANCE_AMT Tolerance amount to calculate pre-payment penalty fee
API_CONTRACTS.APP_PROM_CANCEL_DLQ_DAYS,APP_PROM_CANCEL_DLQ_DAYS Stores the delinquency days after which the promotion is cancelled automatically
API_CONTRACTS.APP_CR_CONSUMED,APP_CR_CONSUMED Credit limit already consumed on account
API_CONTRACTS.APP_FINAL_PMT_AMT,APP_FINAL_PMT_AMT Final payment amount
API_CONTRACTS.APP_STAGE_FUND_IND,APP_STAGE_FUND_IND Indicates if stage funding is allowed
API_CONTRACTS.APP_COLLECT_INTEREST_IND,APP_COLLECT_INTEREST_IND Indicates whether the interest has to be collected or not
API_CONTRACTS.APP_PROM_TOLERANCE_AMT,APP_PROM_TOLERANCE_AMT Promotion tolerance amount checked against outstanding balance for promotion benefits
API_CONTRACTS.APP_PROM_PERIOD_TYPE_CD,APP_PROM_PERIOD_TYPE_CD Promotion period type
API_CONTRACTS.APP_ACH_BANK_NAME,APP_ACH_BANK_NAME The name of the ACH bank of the customer
API_CONTRACTS.APP_ACH_BANK_ROUTING_NBR,APP_ACH_BANK_ROUTING_NBR The 9-digit ABA number of the ACH bank of the customer
API_CONTRACTS.APP_ACH_ACCOUNT_TYPE_CD,APP_ACH_ACCOUNT_TYPE_CD Reference key to lookup ACH account type such as checking saving etc
API_CONTRACTS.APP_ACH_ACCOUNT_NBR,APP_ACH_ACCOUNT_NBR The account number of the bank for ACH transaction
API_CONTRACTS.APP_ACH_PMT_DAY,APP_ACH_PMT_DAY The actual day that the ACH payment will be taken out of the customer account
API_CONTRACTS.APP_ACH_PMT_AMT,APP_ACH_PMT_AMT Amount of payment used in ACH transaction
API_CONTRACTS.APP_ACH_PMT_FREQ_CD,APP_ACH_PMT_FREQ_CD Reference key to lookup ACH payment frequency such as weekly monthly etc
API_CONTRACTS.APP_ACH_START_DT,APP_ACH_START_DT The date on which ACH processing started
API_CONTRACTS.APP_ACH_IND,APP_ACH_IND Indicates whether the account has been setup for ACH
API_CONTRACTS.APP_RPMT_CUR_CURRENCY_CODE,APP_RPMT_CUR_CURRENCY_CODE Reference key to Currency  Repayment Currency (Current)
API_CONTRACTS.APP_PDC_IND,APP_PDC_IND PDC indicator for applications
API_CONTRACTS.APP_ORIG_SYS_XREF,APP_ORIG_SYS_XREF Reference key to application id of legacy system
API_CONTRACTS.APP_PTC_COMPANY,APP_PTC_COMPANY Reference key to portfolio company
API_CONTRACTS.APP_PCB_BRANCH,APP_PCB_BRANCH Reference Key to portfolio branch(Origination)
API_CONTRACTS.APP_NBR,APP_NBR A unique application number
API_CONTRACTS.APP_DT,APP_DT The effective date of the application
API_CONTRACTS.APP_PRD_PRODUCT,APP_PRD_PRODUCT Reference key to product
API_CONTRACTS.APP_SOURCE_CD,APP_SOURCE_CD Identifies the source of the application such as Fax  Web
API_CONTRACTS.APP_UNDERWRITER_USR_CODE,APP_UNDERWRITER_USR_CODE The underwriter who approved the credit application
API_CONTRACTS.APP_PRO_TYPE_CD,APP_PRO_TYPE_CD Reference key to lookup producer type such as dealer  agent  etc
API_CONTRACTS.APP_PRO_NBR,APP_PRO_NBR Reference to producer number
API_CONTRACTS.ADC_PRP_PRICING,ADC_PRP_PRICING Reference Key to Product Pricings
API_CONTRACTS.ADC_CR_GRADE_CD,ADC_CR_GRADE_CD The application decision approved credit grade
API_CONTRACTS.ADC_CR_SCORE,ADC_CR_SCORE The application decision credit score
API_CONTRACTS.APP_TOTAL_DISCOUNT_RATE,APP_TOTAL_DISCOUNT_RATE Stores the Total Discount Rate. This is used for Conversion of data from other system
API_CONTRACTS.APP_ORIG_SYS_XREF,APP_ORIG_SYS_XREF Reference key to application id of legacy system
API_CONTRACTS.APP_PTC_COMPANY,APP_PTC_COMPANY Reference key to portfolio company
API_CONTRACTS.APP_PCB_BRANCH,APP_PCB_BRANCH Reference Key to portfolio branch(Origination)
API_CONTRACTS.APP_NBR,APP_NBR A unique application number
API_CONTRACTS.APP_DT,APP_DT The effective date of the application
API_CONTRACTS.APP_PRD_PRODUCT,APP_PRD_PRODUCT Reference key to product
API_CONTRACTS.APP_SOURCE_CD,APP_SOURCE_CD Identifies the source of the application such as Fax  Web
API_CONTRACTS.APP_UNDERWRITER_USR_CODE,APP_UNDERWRITER_USR_CODE The underwriter who approved the credit application
API_CONTRACTS.APP_PRO_TYPE_CD,APP_PRO_TYPE_CD Reference key to lookup producer type such as dealer  agent  etc
API_CONTRACTS.APP_PRO_NBR,APP_PRO_NBR Reference to producer number
API_CONTRACTS.APP_CONVERSION_DT,APP_CONVERSION_DT Date of conversion
API_CONTRACTS.APP_NEW_IND,APP_NEW_IND Indicates converting new account
API_CONTRACTS.APP_LINK_EXISTING_CUSTOMER_IND,APP_LINK_EXISTING_CUSTOMER_IND Indicates whether the account should be linked to existing customer
API_CONTRACTS.APP_MULTIPLE_OFFER_IND,APP_MULTIPLE_OFFER_IND Indicates if Multiple offer is enabled for the branch. This is used for Conversion of data from other system
API_CONTRACTS.APP_REPMT_FIXED_PRINCIPAL_AMT,APP_REPMT_FIXED_PRINCIPAL_AMT Stores the Repayment Principal Amount. This is used for Conversion of data from other system
API_CONTRACTS.APP_EXTEND_BALLOON_TERM_MAX,APP_EXTEND_BALLOON_TERM_MAX Stores the Maximum Extended Balloon Term. This is used for Conversion of data from other system
API_CONTRACTS.APP_TIME_ZONE_CD,APP_TIME_ZONE_CD Stores the Time Zone Code. This is used for Conversion of data from other system
API_CONTRACTS.APP_STMT_PREFERENCE_MODE_CD,APP_STMT_PREFERENCE_MODE_CD Application Statement Preference Mode code
API_CONTRACTS.APP_CLASS_TYPE_CD,APP_CLASS_TYPE_CD Application class type code (SBL/INV/BUS)
API_CONTRACTS.APP_LINKED_ACC_NBR,APP_LINKED_ACC_NBR Indicates the linked account number for an account
API_CONTRACTS.APP_MULTI_BILL_ASSET_RATE_IND,APP_MULTI_BILL_ASSET_RATE_IND Indicates whether multiple asset rates are applicable for one billing period or not
API_CONTRACTS.APP_PAH_HIERARCHY_CODE,APP_PAH_HIERARCHY_CODE Payment Hierarchy Code
API_CONTRACTS.APP_PMT_MODE_CD,APP_PMT_MODE_CD Reference lookup to Accounts payment mode current (cash/check)
API_CONTRACTS.APP_STMT_PREFERENCE_MODE_CD,APP_STMT_PREFERENCE_MODE_CD Application Statement Preference Mode code
API_CONTRACTS.APP_RATE_MAX_INCREASE_YEAR,APP_RATE_MAX_INCREASE_YEAR Maximum allowable increase in rate in a year
API_CONTRACTS.APP_ACCRUAL_CALC_METHOD_CD,APP_ACCRUAL_CALC_METHOD_CD Reference key to lookup accrual calculation method such as actuarial  sum of digits or simple interest
API_CONTRACTS.APP_RATE_MAX_INCREASE_LIFE,APP_RATE_MAX_INCREASE_LIFE Maximum allowable increase in rate in the life of the contract
API_CONTRACTS.APP_TOTAL_OF_PMTS_ESTIMATED,APP_TOTAL_OF_PMTS_ESTIMATED Application Total Of Payments Estimated
API_CONTRACTS.CREATED_BY,CREATED_BY Standard Who
API_CONTRACTS.CREATION_DATE,CREATION_DATE Standard Who
API_CONTRACTS.APP_ACH_FEE_IND,APP_ACH_FEE_IND Application ACH fee indicator
API_CONTRACTS.APP_ADV_DRAW_END_DT,APP_ADV_DRAW_END_DT The end date to draw advance for stage funded loans
API_CONTRACTS.APP_AGREEMENT_TYPE_CD,APP_AGREEMENT_TYPE_CD Agreement type Code - Usage/Rental/Undefined.
API_CONTRACTS.APP_API_ID,APP_API_ID Unique Sequence number for multi threading
API_CONTRACTS.APP_CAP_COST_GRO,APP_CAP_COST_GRO Application Capital Cost Gross
API_CONTRACTS.APP_CAP_COST_RED,APP_CAP_COST_RED Application Capital Cost Residual
API_CONTRACTS.APP_CHARGE_CALC_METHOD_CD,APP_CHARGE_CALC_METHOD_CD Charge caluclation method code for Tiered / Non Tiered.
API_CONTRACTS.APP_COMP_REVISE_PLAN_TERM,APP_COMP_REVISE_PLAN_TERM Compensation plan revision term
API_CONTRACTS.APP_CONTRACT_VERIFY_BY,APP_CONTRACT_VERIFY_BY Contract Verify Date 
API_CONTRACTS.APP_COUPON_NOS,APP_COUPON_NOS Number of coupons for order
API_CONTRACTS.APP_DISCOUNT_AMT,APP_DISCOUNT_AMT Discount Amount applicable for Rental Billing
API_CONTRACTS.APP_DISCOUNT_PER,APP_DISCOUNT_PER Discount Percentage
API_CONTRACTS.APP_DRAW_TERM_RATE,APP_DRAW_TERM_RATE Stores the rate at the time of stage funding
API_CONTRACTS.APP_ERROR_IND,APP_ERROR_IND Indicates error on conversion record
API_CONTRACTS.APP_EXCESS_RENT_COL_METHOD_CD,APP_EXCESS_RENT_COL_METHOD_CD Excess rent colculation method code for Actual/Average.
API_CONTRACTS.APP_FLEXIBLE_REPAYMENT_IND,APP_FLEXIBLE_REPAYMENT_IND Indicates flexible repayment schedule is allowed or not
API_CONTRACTS.APP_INDEX_RATE_EFFECTIVE,APP_INDEX_RATE_EFFECTIVE Stores the Index Effective rate
API_CONTRACTS.APP_INSTALLMENT_METHOD_CD,APP_INSTALLMENT_METHOD_CD Method to calculate payment amount Equated EQ Final Payment Differs FPD
API_CONTRACTS.APP_MASTER_ACC_IND,APP_MASTER_ACC_IND Indicates if the application is marked as master account or not
API_CONTRACTS.APP_MASTER_ACC_NBR,APP_MASTER_ACC_NBR Master account number to which the application is linked
API_CONTRACTS.APP_MATURITY_MRATE_EFFECTIVE,APP_MATURITY_MRATE_EFFECTIVE Stores the effective maturity margin rate
API_CONTRACTS.APP_MAX_TIME_BAR_YEAR,APP_MAX_TIME_BAR_YEAR Staging data source : Max Time Bar Year
API_CONTRACTS.APP_MAX_USAGE,APP_MAX_USAGE Maximum units allowed per cycle.
API_CONTRACTS.APP_MRATE_EFFECTIVE,APP_MRATE_EFFECTIVE Stores the Effective for the margin
API_CONTRACTS.APP_PMT_MAX_INCREASE_LIFE,APP_PMT_MAX_INCREASE_LIFE Application Payment max increase life
API_CONTRACTS.APP_PMT_MAX_INCREASE_YEAR,APP_PMT_MAX_INCREASE_YEAR Application Payment max increase year
API_CONTRACTS.APP_PREPAID_AMT,APP_PREPAID_AMT Application Prepaid Amount
API_CONTRACTS.APP_PROBABLE_DELIVERY_DT,APP_PROBABLE_DELIVERY_DT Application probable delivery date
API_CONTRACTS.APP_PROFIT_RATE,APP_PROFIT_RATE Application profit rate
API_CONTRACTS.APP_PROM_PROFIT_RATE,APP_PROM_PROFIT_RATE Application promotional profit rate
API_CONTRACTS.APP_RATE_BUY_EFFECTIVE,APP_RATE_BUY_EFFECTIVE Stores the effective buy rate
API_CONTRACTS.APP_RATE_CHG_FREQ_TYPE_CD,APP_RATE_CHG_FREQ_TYPE_CD Reference key to lookup rate change frequency type such as MONTHLY QUARTERLY etc
API_CONTRACTS.APP_RATE_CHG_PERIOD,APP_RATE_CHG_PERIOD Stores the time or period between subsequent rate change based on rate adjustment frequency
API_CONTRACTS.APP_RATE_CHG_RSC_METHOD_CD,APP_RATE_CHG_RSC_METHOD_CD Reference key to lookup Rate Change Reschedule Method
API_CONTRACTS.APP_RATE_CHG_RSC_VALUE,APP_RATE_CHG_RSC_VALUE The percentage value to be used to change the payment amount when rate changes on account
API_CONTRACTS.APP_RATE_EFFECTIVE,APP_RATE_EFFECTIVE Stores the Effective rate
API_CONTRACTS.APP_RECOURSE_TYPE_CD,APP_RECOURSE_TYPE_CD Stores Recourse Type from lookup code
API_CONTRACTS.APP_RENTAL_FEE,APP_RENTAL_FEE Application Rental fee
API_CONTRACTS.APP_RENT_END_DATE,APP_RENT_END_DATE Rental End Date 
API_CONTRACTS.APP_RENT_FACTOR,APP_RENT_FACTOR Application Rent Factror
API_CONTRACTS.APP_RENT_START_DATE,APP_RENT_START_DATE Rental Start date with timestamp
API_CONTRACTS.APP_RENT_VAL,APP_RENT_VAL Application Rent Value
API_CONTRACTS.APP_REPAYMENT_SKIP_PERIOD,APP_REPAYMENT_SKIP_PERIOD Stores all months that are allowed to skip payment such as MARCH APRIL MAY
API_CONTRACTS.APP_REPAYMENT_TYPE_CD,APP_REPAYMENT_TYPE_CD Reference key to lookup account repayment type
API_CONTRACTS.APP_REQ_BALLOON_AMT,APP_REQ_BALLOON_AMT Application Requested Balloon amount
API_CONTRACTS.APP_RESIDUAL_DAYS,APP_RESIDUAL_DAYS Application residual days
API_CONTRACTS.APP_RESIDUAL_PER,APP_RESIDUAL_PER Application  Residual Percentage
API_CONTRACTS.APP_RESIDUAL_VAL,APP_RESIDUAL_VAL Application Residual Value
API_CONTRACTS.APP_SALES_TAX_AMT_ESTIMATED,APP_SALES_TAX_AMT_ESTIMATED Application Sales Tax Amount Estimated
API_CONTRACTS.APP_SALES_TAX_PER_ESTIMATED,APP_SALES_TAX_PER_ESTIMATED Application Sales Tax Percentage Estimated
API_CONTRACTS.APP_SECURITY_DEPOSIT_AMT,APP_SECURITY_DEPOSIT_AMT Application Security Deposit Amount
API_CONTRACTS.APP_SIGNING_DT,APP_SIGNING_DT Application signing date
API_CONTRACTS.APP_STMT_CONSOLIDATE_IND,APP_STMT_CONSOLIDATE_IND Application statement consolidation indicator
